,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,156,6464,,,,29/12/2006 a 12/12/2007,,,,SILENTIA,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS."
,157,6468,,,,12/01/2007 a 22/06/2007,,,,FAX-575,APARELHO DE FAX - DESCRICAO: - PAPEL PLANO
,158,6496,,,,,,,,ANATÔMICA,CADEIRA FIXA EM TECIDO - DESCRICAO: NA COR AZUL MARINHO
,159,6500,,,,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO
,160,6503,,,,,,,,,POLTRONA FIXA EM TECIDO SOBRE LONGARINA - DESCRICAO: NA COR AZUL MARINHO
,161,6536,,,,13/03/2007 a 13/03/2008,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,162,6541,,,,13/03/2007 a 13/03/2008,,,,,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,163,6545,,,,13/03/2007 a 13/03/2008,,,,LM722,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,164,6548,,,,13/03/2007 a 13/03/2008,,,,LM722,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,165,6550,,,,13/03/2007 a 13/03/2008,,,,LM722,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,166,6551,,,,13/03/2007 a 13/03/2008,,,,LM722,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS
,167,6576,,,,16/04/2007 a 16/04/2008,,,,SURTA 3000XL,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19
,168,6579,,,,16/04/2007 a 16/04/2008,,,,SURTA 3000XL,NO BREAK . - DESCRICAO: 3KVA/ 1.8 KW PARA RACK 19
,169,6581,,,,04/06/2007 a 30/11/2007,,,,KRU-302,RECEPTOR DE MICROFONE - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
,170,6583,,,,07/05/2007 a 03/05/2008,,,,PS 500,CAIXA ACUSTICA - DESCRICAO: DE 75 W.
,171,6584,,,,07/05/2007 a 03/05/2008,,,,PS 500,CAIXA ACUSTICA - DESCRICAO: DE 75 W.
,172,6595,,,,20/05/2007 a 16/02/2008,,,,SECRETÁRIO,ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO - DESCRICAO: MEDINDO 135 X 135 X 060 X 060 X 074CM
,173,6652,,,,20/05/2007 a 16/02/2008,,,,PADRÃO,"ARMARIO ALTO - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 090CM DE LARG., 050CM DE PROF. E 163CM DE ALTURA"
,174,6810,,,,04/06/2007 a 30/11/2007,,,,KST-5U,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
,175,6811,,,,04/06/2007 a 30/11/2007,,,,KST-5U,MICROFONE SEM FIO - DESCRICAO: SISTEMA WIRELESS MICROPHONE SYSTEM
,176,6814,,,,22/06/2007 a 19/06/2008,,,,CYBER-SHOT DSC-S650,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0"
,177,6815,,,,22/06/2007 a 19/06/2008,,,,CYBER-SHOT DSC-S650,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 7.2 MEGA PIXELS, COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 2.0"
